SA2_code,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
61017,1.26,0.09693877551020405,1.07,0.07908163265306122,1.19,0.06887755102040817
61018,0.97,0.1173469387755102,1.08,0.10459183673469388,0.99,0.08673469387755102
61019,1.26,0.10969387755102039,1.06,0.08673469387755102,1.19,0.08673469387755105
61020,1.05,0.08928571428571429,1.22,0.09183673469387751,1.17,0.07653061224489797
61021,1.28,0.14540816326530615,1.08,0.11734693877551022,1.24,0.11479591836734693
61022,1.01,0.09438775510204081,1,0.07653061224489795,1.03,0.07142857142857141
61023,0.95,0.09438775510204078,0.98,0.08673469387755102,0.94,0.07142857142857144
61024,1.05,0.10459183673469388,1.02,0.07908163265306122,1.03,0.07908163265306122
61026,0.91,0.10459183673469385,0.91,0.08418367346938778,0.89,0.08418367346938778
61027,0.95,0.07397959183673473,0.92,0.06887755102040817,0.91,0.0586734693877551
61028,1.12,0.08673469387755105,1.03,0.07397959183673468,1.09,0.0663265306122449
61029,0.94,0.09183673469387751,0.91,0.0739795918367347,0.89,0.0739795918367347
61030,1.09,0.09693877551020408,1.07,0.08673469387755102,1.11,0.07908163265306124
61031,0.82,0.0663265306122449,0.87,0.07908163265306124,0.81,0.058673469387755126
61032,1.06,0.09693877551020408,0.97,0.08163265306122448,1.02,0.07397959183673468
61033,1.14,0.12499999999999997,1.01,0.09948979591836735,1.12,0.10204081632653064
61034,1.16,0.10714285714285712,1.06,0.10969387755102042,1.14,0.08928571428571432
61035,1.01,0.07653061224489795,1.07,0.07397959183673468,1.02,0.06122448979591834
61036,1.24,0.16836734693877553,1.17,0.16581632653061226,1.22,0.14285714285714288
61037,1.15,0.10969387755102039,1.13,0.08673469387755105,1.2,0.08418367346938778
61038,0.91,0.10204081632653059,1,0.09693877551020408,0.91,0.07908163265306124
61039,1.16,0.13265306122448978,1.12,0.11989795918367344,1.17,0.1173469387755102
61040,1.11,0.11479591836734696,1.17,0.12755102040816327,1.15,0.10969387755102039
61041,1.3,0.10714285714285712,1.1,0.10204081632653061,1.22,0.09183673469387751
61042,0.91,0.08673469387755105,1.06,0.08673469387755102,0.96,0.0688775510204082
61043,1.02,0.10459183673469388,1.06,0.08928571428571429,1.02,0.08673469387755102
61044,1.09,0.10714285714285715,1.14,0.09183673469387758,1.14,0.08673469387755105
61045,1.17,0.11479591836734693,1.08,0.09693877551020408,1.11,0.09438775510204085
61046,1,0.08418367346938775,1.09,0.08418367346938778,1.03,0.07397959183673468
61047,1,0.09438775510204081,1.11,0.09438775510204085,1.08,0.08928571428571429
61048,1.07,0.07908163265306122,1.15,0.07653061224489797,1.14,0.07142857142857144
61049,1.01,0.09948979591836735,1.16,0.10204081632653064,1.1,0.09183673469387756
61050,1.05,0.09438775510204081,1.04,0.08418367346938775,1.01,0.07908163265306122
